"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 12, 2020","387.78","373.63","387.78","368.91","766.58K","3.70%"
"Sep 11, 2020","373.96","368.33","373.96","361.75","844.18K","1.61%"
"Sep 10, 2020","368.04","350.56","372.87","350.56","1.13M","4.82%"
"Sep 09, 2020","351.12","336.93","357.66","331.83","879.96K","4.21%"
"Sep 08, 2020","336.95","353.91","353.91","334.88","1.40M","-4.63%"
"Sep 07, 2020","353.31","352.11","354.38","327.65","1.74M","0.23%"
"Sep 06, 2020","352.50","334.18","354.60","325.03","2.02M","5.28%"
"Sep 05, 2020","334.82","385.20","388.72","331.75","2.78M","-13.18%"
"Sep 04, 2020","385.66","381.25","397.14","381.25","1.81M","1.09%"
"Sep 03, 2020","381.51","439.27","447.15","381.51","2.41M","-13.19%"
"Sep 02, 2020","439.48","474.92","476.98","431.53","1.88M","-7.66%"
"Sep 01, 2020","475.95","434.85","481.05","431.41","1.75M","9.72%"
"Aug 31, 2020","433.79","429.56","436.12","422.82","1.04M","1.02%"
"Aug 30, 2020","429.42","398.72","429.42","398.72","894.18K","7.72%"
"Aug 29, 2020","398.64","395.75","404.53","393.54","659.73K","0.92%"
"Aug 28, 2020","395.01","383.71","396.03","383.71","733.00K","3.14%"
"Aug 27, 2020","382.99","385.95","387.88","377.17","877.63K","-0.69%"
"Aug 26, 2020","385.67","382.92","389.86","378.65","738.71K","0.67%"
"Aug 25, 2020","383.12","407.81","407.81","370.30","970.65K","-6.08%"
"Aug 24, 2020","407.92","390.66","407.92","388.93","717.37K","4.43%"
"Aug 23, 2020","390.62","395.51","395.51","387.09","445.32K","-1.18%"
"Aug 22, 2020","395.29","387.64","395.29","381.88","643.59K","1.89%"
"Aug 21, 2020","387.96","415.99","417.18","387.96","860.98K","-6.70%"
"Aug 20, 2020","415.80","407.47","417.72","403.58","663.97K","2.24%"
"Aug 19, 2020","406.68","421.86","421.86","400.08","978.05K","-3.71%"
"Aug 18, 2020","422.37","430.52","431.96","422.33","743.78K","-1.78%"
"Aug 17, 2020","430.01","434.14","438.74","425.58","868.48K","-0.87%"
"Aug 16, 2020","433.79","432.39","433.79","422.10","717.00K","0.36%"
"Aug 15, 2020","432.25","438.55","441.32","431.13","681.47K","-1.31%"
"Aug 14, 2020","437.99","425.78","442.77","421.29","1.11M","3.16%"
"Aug 13, 2020","424.56","386.70","426.34","381.97","1.51M","9.69%"
"Aug 12, 2020","387.05","379.00","387.33","374.94","751.84K","2.16%"
"Aug 11, 2020","378.87","395.62","396.65","372.95","992.25K","-4.21%"
"Aug 10, 2020","395.51","390.50","396.94","390.50","826.99K","1.35%"
"Aug 09, 2020","390.25","397.83","397.83","385.93","596.40K","-1.67%"
"Aug 08, 2020","396.89","378.88","396.89","378.88","621.66K","4.62%"
"Aug 07, 2020","379.36","394.50","396.69","373.50","1.04M","-3.91%"
"Aug 06, 2020","394.78","400.68","400.68","394.78","821.41K","-1.47%"
"Aug 05, 2020","400.68","390.02","400.68","388.18","1.12M","2.89%"
"Aug 04, 2020","389.41","386.44","399.37","385.89","1.18M","0.95%"
"Aug 03, 2020","385.76","372.40","394.93","372.40","1.19M","3.59%"
"Aug 02, 2020","372.39","387.31","397.86","363.99","2.32M","-3.78%"
"Aug 01, 2020","387.01","346.33","387.01","346.33","1.44M","11.71%"
"Jul 31, 2020","346.43","334.97","346.43","332.29","947.82K","3.47%"
"Jul 30, 2020","334.82","315.50","334.82","315.50","1.01M","5.58%"
"Jul 29, 2020","317.11","317.37","323.95","315.70","783.48K","0.09%"
"Jul 28, 2020","316.84","323.30","323.30","313.95","1.09M","-1.48%"
"Jul 27, 2020","321.60","311.32","326.93","311.32","1.64M","3.38%"
"Jul 26, 2020","311.09","305.16","317.27","301.57","1.27M","1.84%"
"Jul 25, 2020","305.47","279.63","305.47","279.63","1.06M","9.42%"
"Jul 24, 2020","279.18","275.02","284.81","271.67","926.19K","1.40%"
"Jul 23, 2020","275.33","263.79","275.33","262.95","1.07M","4.28%"
"Jul 22, 2020","264.04","245.43","264.53","243.42","718.53K","7.54%"
"Jul 21, 2020","245.53","235.86","245.53","235.86","637.16K","4.04%"
"Jul 20, 2020","236.00","239.48","239.48","235.98","397.05K","-1.24%"
"Jul 19, 2020","238.96","235.67","238.96","233.95","348.67K","1.40%"
"Jul 18, 2020","235.65","232.64","235.89","232.48","341.31K","1.28%"
"Jul 17, 2020","232.68","233.66","233.66","232.68","325.90K","-0.40%"
"Jul 16, 2020","233.62","238.65","238.65","231.66","586.96K","-2.10%"
"Jul 15, 2020","238.62","240.44","240.44","238.20","368.44K","-0.73%"
"Jul 14, 2020","240.37","239.47","241.55","238.26","426.29K","0.28%"
"Jul 13, 2020","239.70","243.09","244.65","239.52","604.60K","-1.29%"
"Jul 12, 2020","242.84","239.38","242.84","237.90","468.67K","1.53%"
"Jul 11, 2020","239.18","241.47","241.47","238.34","294.50K","-0.82%"
"Jul 10, 2020","241.15","242.10","242.10","238.10","455.07K","-0.38%"
"Jul 09, 2020","242.06","246.71","247.09","239.69","647.62K","-2.00%"
"Jul 08, 2020","247.01","239.57","247.97","238.78","958.20K","3.19%"
"Jul 07, 2020","239.38","241.66","241.66","237.20","601.83K","-0.89%"
"Jul 06, 2020","241.54","227.95","241.54","227.86","863.15K","5.97%"
"Jul 05, 2020","227.94","229.26","229.75","223.92","355.24K","-0.56%"
"Jul 04, 2020","229.22","224.78","230.47","224.63","307.75K","1.92%"
"Jul 03, 2020","224.91","226.46","228.08","224.26","313.91K","-0.66%"
"Jul 02, 2020","226.40","231.05","231.93","223.43","592.64K","-1.92%"
